,modelname,buythreshold,sellthreshold,finalmoney,maxhuiche,buypoint,chip,buyacc
0,kronos,0.7,-10,11677904.782617185,0.21594998800800774,373,5,0.483695652173913
1,kronos,0.8999999999999999,-10,9895315.775195293,0.3093116733367997,371,5,0.4918032786885246
2,kronos,1.0999999999999999,-10,9512670.3544922,0.30447175113211794,361,5,0.47752808988764045
3,kronos,1.2999999999999998,-10,11105810.553710938,0.22200063054381877,340,5,0.4925373134328358
4,kronos,1.4999999999999998,-10,11832809.489648433,0.21181897751196377,325,5,0.503125
5,kronos,1.6999999999999997,-10,12367447.3794922,0.20842385003614938,293,5,0.5347222222222222
6,kronos,1.8999999999999997,-10,11029290.838085946,0.21336315182322987,265,5,0.5076923076923077
7,kronos,2.0999999999999996,-10,8265618.694726578,0.2692872680492655,219,5,0.4744186046511628
8,kronos,2.3,-10,8804025.68808595,0.21862393244922904,175,5,0.4682080924855491
9,kronos,2.5,-10,8928197.07539063,0.23773040300036333,154,5,0.4675324675324675
10,kronos,2.7,-10,7975289.32441406,0.280528243786206,124,5,0.4435483870967742
11,kronos,2.9000000000000004,-10,8381404.686523439,0.25162366407018966,102,5,0.47058823529411764
